"activity" "subject" "measurement_name" "average_ratio"
"SITTING" 27 "tBodyAcc_mean___Z" -0.105521912588571
"SITTING" 28 "tBodyAcc_mean___Z" -0.111517939555556
"SITTING" 29 "tBodyAcc_mean___Z" -0.1104118192
"SITTING" 30 "tBodyAcc_mean___Z" -0.099515446133871
"STANDING" 1 "tBodyAcc_mean___Z" -0.110601817735849
"STANDING" 2 "tBodyAcc_mean___Z" -0.105908536055556
"STANDING" 3 "tBodyAcc_mean___Z" -0.101621722633148
"STANDING" 4 "tBodyAcc_mean___Z" -0.0961574905535714
"STANDING" 5 "tBodyAcc_mean___Z" -0.102171095696429
"STANDING" 6 "tBodyAcc_mean___Z" -0.112172831947368
"STANDING" 7 "tBodyAcc_mean___Z" -0.0997778303207547
"STANDING" 8 "tBodyAcc_mean___Z" -0.106114996837037
"STANDING" 9 "tBodyAcc_mean___Z" -0.0952747481333333
"STANDING" 10 "tBodyAcc_mean___Z" -0.107964083931818
"STANDING" 11 "tBodyAcc_mean___Z" -0.108686630425532
"STANDING" 12 "tBodyAcc_mean___Z" -0.105526999754098
"STANDING" 13 "tBodyAcc_mean___Z" -0.112124137754386
"STANDING" 14 "tBodyAcc_mean___Z" -0.103817701790667
"STANDING" 15 "tBodyAcc_mean___Z" -0.105910832679245
"STANDING" 16 "tBodyAcc_mean___Z" -0.103657729076923
"STANDING" 17 "tBodyAcc_mean___Z" -0.111432145565
"STANDING" 18 "tBodyAcc_mean___Z" -0.108453355945205
"STANDING" 19 "tBodyAcc_mean___Z" -0.10904190460274
"STANDING" 20 "tBodyAcc_mean___Z" -0.100402759931507
"STANDING" 21 "tBodyAcc_mean___Z" -0.110417855808989
"STANDING" 22 "tBodyAcc_mean___Z" -0.104967423820635
"STANDING" 23 "tBodyAcc_mean___Z" -0.1105970177575
"STANDING" 24 "tBodyAcc_mean___Z" -0.108222553855072
"STANDING" 25 "tBodyAcc_mean___Z" -0.107352957594595
"STANDING" 26 "tBodyAcc_mean___Z" -0.110237796416216
"STANDING" 27 "tBodyAcc_mean___Z" -0.107835818025
"STANDING" 28 "tBodyAcc_mean___Z" -0.106579385202532
"STANDING" 29 "tBodyAcc_mean___Z" -0.108659067476923
"STANDING" 30 "tBodyAcc_mean___Z" -0.108756209835593
"WALKING" 1 "tBodyAcc_mean___Z" -0.111148103547368
"WALKING" 2 "tBodyAcc_mean___Z" -0.105500357966102
"WALKING" 3 "tBodyAcc_mean___Z" -0.112674859827586
"WALKING" 4 "tBodyAcc_mean___Z" -0.11140306485
"WALKING" 5 "tBodyAcc_mean___Z" -0.107741776464286
"WALKING" 6 "tBodyAcc_mean___Z" -0.110303165877193
"WALKING" 7 "tBodyAcc_mean___Z" -0.110912234947368
"WALKING" 8 "tBodyAcc_mean___Z" -0.107252090833333
"WALKING" 9 "tBodyAcc_mean___Z" -0.110820512307692
"WALKING" 10 "tBodyAcc_mean___Z" -0.109057512132075
"WALKING" 11 "tBodyAcc_mean___Z" -0.106096304033898
"WALKING" 12 "tBodyAcc_mean___Z" -0.10316110632
"WALKING" 13 "tBodyAcc_mean___Z" -0.111431456192982
"WALKING" 14 "tBodyAcc_mean___Z" -0.106756369135593
"WALKING" 15 "tBodyAcc_mean___Z" -0.107621819518519
"WALKING" 16 "tBodyAcc_mean___Z" -0.108804049803922
"WALKING" 17 "tBodyAcc_mean___Z" -0.109792122032787
"WALKING" 18 "tBodyAcc_mean___Z" -0.104218315464286
"WALKING" 19 "tBodyAcc_mean___Z" -0.122736673192308
"WALKING" 20 "tBodyAcc_mean___Z" -0.113539477098039
"WALKING" 21 "tBodyAcc_mean___Z" -0.104319332403846
"WALKING" 22 "tBodyAcc_mean___Z" -0.107112510934783
"WALKING" 23 "tBodyAcc_mean___Z" -0.113382994084746
"WALKING" 24 "tBodyAcc_mean___Z" -0.110595952913793
"WALKING" 25 "tBodyAcc_mean___Z" -0.108737636297297
"WALKING" 26 "tBodyAcc_mean___Z" -0.108927011474576
"WALKING" 27 "tBodyAcc_mean___Z" -0.112822289263158
"WALKING" 28 "tBodyAcc_mean___Z" -0.103714705396296
"WALKING" 29 "tBodyAcc_mean___Z" -0.106632427301887
"WALKING" 30 "tBodyAcc_mean___Z" -0.0986247068969231
"WALKING_DOWNSTAIRS" 1 "tBodyAcc_mean___Z" -0.107566190908163
"WALKING_DOWNSTAIRS" 2 "tBodyAcc_mean___Z" -0.116812942382979
"WALKING_DOWNSTAIRS" 3 "tBodyAcc_mean___Z" -0.116139842908163
"WALKING_DOWNSTAIRS" 4 "tBodyAcc_mean___Z" -0.1067775246
"WALKING_DOWNSTAIRS" 5 "tBodyAcc_mean___Z" -0.100319930659574
"WALKING_DOWNSTAIRS" 6 "tBodyAcc_mean___Z" -0.107209356208333
"WALKING_DOWNSTAIRS" 7 "tBodyAcc_mean___Z" -0.096938308587234
"WALKING_DOWNSTAIRS" 8 "tBodyAcc_mean___Z" -0.107598135394737
"WALKING_DOWNSTAIRS" 9 "tBodyAcc_mean___Z" -0.0910278793952381
"WALKING_DOWNSTAIRS" 10 "tBodyAcc_mean___Z" -0.110848597247368
"WALKING_DOWNSTAIRS" 11 "tBodyAcc_mean___Z" -0.111070149978261
"WALKING_DOWNSTAIRS" 12 "tBodyAcc_mean___Z" -0.10955593226087
"WALKING_DOWNSTAIRS" 13 "tBodyAcc_mean___Z" -0.101993941531915
"WALKING_DOWNSTAIRS" 14 "tBodyAcc_mean___Z" -0.0928330165533333
"WALKING_DOWNSTAIRS" 15 "tBodyAcc_mean___Z" -0.110526066428571
"WALKING_DOWNSTAIRS" 16 "tBodyAcc_mean___Z" -0.119873705148936
"WALKING_DOWNSTAIRS" 17 "tBodyAcc_mean___Z" -0.0892432745173913
"WALKING_DOWNSTAIRS" 18 "tBodyAcc_mean___Z" -0.1033908092
"WALKING_DOWNSTAIRS" 19 "tBodyAcc_mean___Z" -0.133695240660974
"WALKING_DOWNSTAIRS" 20 "tBodyAcc_mean___Z" -0.104602925937778
"WALKING_DOWNSTAIRS" 21 "tBodyAcc_mean___Z" -0.09816866218
"WALKING_DOWNSTAIRS" 22 "tBodyAcc_mean___Z" -0.1074157796
"WALKING_DOWNSTAIRS" 23 "tBodyAcc_mean___Z" -0.0988123712574074
"WALKING_DOWNSTAIRS" 24 "tBodyAcc_mean___Z" -0.104818820272727
"WALKING_DOWNSTAIRS" 25 "tBodyAcc_mean___Z" -0.107192376965517
"WALKING_DOWNSTAIRS" 26 "tBodyAcc_mean___Z" -0.1064396194
"WALKING_DOWNSTAIRS" 27 "tBodyAcc_mean___Z" -0.112837694688636
"WALKING_DOWNSTAIRS" 28 "tBodyAcc_mean___Z" -0.10858897408913
"WALKING_DOWNSTAIRS" 29 "tBodyAcc_mean___Z" -0.0981339984895833
"WALKING_DOWNSTAIRS" 30 "tBodyAcc_mean___Z" -0.0999781422322581
"WALKING_UPSTAIRS" 1 "tBodyAcc_mean___Z" -0.0973020020943396
"WALKING_UPSTAIRS" 2 "tBodyAcc_mean___Z" -0.152513899520833
"WALKING_UPSTAIRS" 3 "tBodyAcc_mean___Z" -0.110064863437288
"WALKING_UPSTAIRS" 4 "tBodyAcc_mean___Z" -0.114219455519231
"WALKING_UPSTAIRS" 5 "tBodyAcc_mean___Z" -0.107471453914894
"WALKING_UPSTAIRS" 6 "tBodyAcc_mean___Z" -0.122082438784314
"WALKING_UPSTAIRS" 7 "tBodyAcc_mean___Z" -0.143769688803922
"WALKING_UPSTAIRS" 8 "tBodyAcc_mean___Z" -0.11512211995122
"WALKING_UPSTAIRS" 9 "tBodyAcc_mean___Z" -0.125219003959184
"WALKING_UPSTAIRS" 10 "tBodyAcc_mean___Z" -0.118180420834043
"WALKING_UPSTAIRS" 11 "tBodyAcc_mean___Z" -0.106797216481481
"WALKING_UPSTAIRS" 12 "tBodyAcc_mean___Z" -0.107339730115385
"WALKING_UPSTAIRS" 13 "tBodyAcc_mean___Z" -0.125767265890909
"WALKING_UPSTAIRS" 14 "tBodyAcc_mean___Z" -0.112279688983333
"WALKING_UPSTAIRS" 15 "tBodyAcc_mean___Z" -0.116952464895833
"WALKING_UPSTAIRS" 16 "tBodyAcc_mean___Z" -0.124074517745098
"WALKING_UPSTAIRS" 17 "tBodyAcc_mean___Z" -0.121290442104167
"WALKING_UPSTAIRS" 18 "tBodyAcc_mean___Z" -0.112655891327586
"WALKING_UPSTAIRS" 19 "tBodyAcc_mean___Z" -0.151054607725
"WALKING_UPSTAIRS" 20 "tBodyAcc_mean___Z" -0.121023947784314
"WALKING_UPSTAIRS" 21 "tBodyAcc_mean___Z" -0.125414265340426
"WALKING_UPSTAIRS" 22 "tBodyAcc_mean___Z" -0.117550861738095
"WALKING_UPSTAIRS" 23 "tBodyAcc_mean___Z" -0.126890616782353
"WALKING_UPSTAIRS" 24 "tBodyAcc_mean___Z" -0.114248610966102
"WALKING_UPSTAIRS" 25 "tBodyAcc_mean___Z" -0.126210440292308
"WALKING_UPSTAIRS" 26 "tBodyAcc_mean___Z" -0.121943461236364
"WALKING_UPSTAIRS" 27 "tBodyAcc_mean___Z" -0.123530438196078
"WALKING_UPSTAIRS" 28 "tBodyAcc_mean___Z" -0.121514025692157
"WALKING_UPSTAIRS" 29 "tBodyAcc_mean___Z" -0.118000587840816
"WALKING_UPSTAIRS" 30 "tBodyAcc_mean___Z" -0.124697493775385
"LAYING" 1 "tBodyAcc_std___X" -0.9280564692
"LAYING" 2 "tBodyAcc_std___X" -0.974059464791667
"LAYING" 3 "tBodyAcc_std___X" -0.982776639193548
"LAYING" 4 "tBodyAcc_std___X" -0.954193738888889
"LAYING" 5 "tBodyAcc_std___X" -0.965934509615385
"LAYING" 6 "tBodyAcc_std___X" -0.934049422052632
"LAYING" 7 "tBodyAcc_std___X" -0.93651361
"LAYING" 8 "tBodyAcc_std___X" -0.94304121537037
"LAYING" 9 "tBodyAcc_std___X" -0.94233309
"LAYING" 10 "tBodyAcc_std___X" -0.968283685
"LAYING" 11 "tBodyAcc_std___X" -0.98477733
"LAYING" 12 "tBodyAcc_std___X" -0.95531868
"LAYING" 13 "tBodyAcc_std___X" -0.968891989354839
"LAYING" 14 "tBodyAcc_std___X" -0.917501887333333
"LAYING" 15 "tBodyAcc_std___X" -0.972255551527778
"LAYING" 16 "tBodyAcc_std___X" -0.973691429428571
"LAYING" 17 "tBodyAcc_std___X" -0.972960567323944
"LAYING" 18 "tBodyAcc_std___X" -0.984527649230769
"LAYING" 19 "tBodyAcc_std___X" -0.965019579518072
"LAYING" 20 "tBodyAcc_std___X" -0.962249114705882
"LAYING" 21 "tBodyAcc_std___X" -0.955019866222222
"LAYING" 22 "tBodyAcc_std___X" -0.947735251944444
"LAYING" 23 "tBodyAcc_std___X" -0.956756363194444
"LAYING" 24 "tBodyAcc_std___X" -0.967984021111111
"LAYING" 25 "tBodyAcc_std___X" -0.909116474109589
"LAYING" 26 "tBodyAcc_std___X" -0.969445445263158
"LAYING" 27 "tBodyAcc_std___X" -0.978455153108108
"LAYING" 28 "tBodyAcc_std___X" -0.9688882955
"LAYING" 29 "tBodyAcc_std___X" -0.984219555507246
"LAYING" 30 "tBodyAcc_std___X" -0.976362515428571
"SITTING" 1 "tBodyAcc_std___X" -0.977229008297872
"SITTING" 2 "tBodyAcc_std___X" -0.986822279565217
"SITTING" 3 "tBodyAcc_std___X" -0.971010120961538
"SITTING" 4 "tBodyAcc_std___X" -0.980309931
"SITTING" 5 "tBodyAcc_std___X" -0.980945022045455
"SITTING" 6 "tBodyAcc_std___X" -0.980164933636364
"SITTING" 7 "tBodyAcc_std___X" -0.972668374583333
"SITTING" 8 "tBodyAcc_std___X" -0.979026152391304
"SITTING" 9 "tBodyAcc_std___X" -0.9572277914
"SITTING" 10 "tBodyAcc_std___X" -0.982901825925926
"SITTING" 11 "tBodyAcc_std___X" -0.982796562075472
"SITTING" 12 "tBodyAcc_std___X" -0.982568781960784
"SITTING" 13 "tBodyAcc_std___X" -0.989546275306122
"SITTING" 14 "tBodyAcc_std___X" -0.976302248148148
"SITTING" 15 "tBodyAcc_std___X" -0.987084356101695
"SITTING" 16 "tBodyAcc_std___X" -0.986825605362319
"SITTING" 17 "tBodyAcc_std___X" -0.9944439053125
"SITTING" 18 "tBodyAcc_std___X" -0.994347988596491
"SITTING" 19 "tBodyAcc_std___X" -0.976357663013699
"SITTING" 20 "tBodyAcc_std___X" -0.983081858939394
"SITTING" 21 "tBodyAcc_std___X" -0.991777287176471
"SITTING" 22 "tBodyAcc_std___X" -0.978466823709677
"SITTING" 23 "tBodyAcc_std___X" -0.987607636617647
"SITTING" 24 "tBodyAcc_std___X" -0.990593766617647
"SITTING" 25 "tBodyAcc_std___X" -0.991892828615385
"SITTING" 26 "tBodyAcc_std___X" -0.979768987948718
"SITTING" 27 "tBodyAcc_std___X" -0.988580107714286
"SITTING" 28 "tBodyAcc_std___X" -0.983272806805556
"SITTING" 29 "tBodyAcc_std___X" -0.9907450195
"SITTING" 30 "tBodyAcc_std___X" -0.983622744193548
"STANDING" 1 "tBodyAcc_std___X" -0.995759901509434
"STANDING" 2 "tBodyAcc_std___X" -0.987271889259259
"STANDING" 3 "tBodyAcc_std___X" -0.96674254295082
"STANDING" 4 "tBodyAcc_std___X" -0.97692058
"STANDING" 5 "tBodyAcc_std___X" -0.968591815714286
"STANDING" 6 "tBodyAcc_std___X" -0.981758159649123
"STANDING" 7 "tBodyAcc_std___X" -0.979307570377358
"STANDING" 8 "tBodyAcc_std___X" -0.988815418148148
"STANDING" 9 "tBodyAcc_std___X" -0.975741252444444
"STANDING" 10 "tBodyAcc_std___X" -0.978403481818182
"STANDING" 11 "tBodyAcc_std___X" -0.994978878723404
"STANDING" 12 "tBodyAcc_std___X" -0.981243992459016
"STANDING" 13 "tBodyAcc_std___X" -0.991020759298246
"STANDING" 14 "tBodyAcc_std___X" -0.973268905
"STANDING" 15 "tBodyAcc_std___X" -0.988949247358491
"STANDING" 16 "tBodyAcc_std___X" -0.989076811794872
"STANDING" 17 "tBodyAcc_std___X" -0.991163919871795
"STANDING" 18 "tBodyAcc_std___X" -0.992019762739726
"STANDING" 19 "tBodyAcc_std___X" -0.989910996849315
"STANDING" 20 "tBodyAcc_std___X" -0.967209961232877
"STANDING" 21 "tBodyAcc_std___X" -0.981419961123596
"STANDING" 22 "tBodyAcc_std___X" -0.985000527142857
"STANDING" 23 "tBodyAcc_std___X" -0.985421519558824
"STANDING" 24 "tBodyAcc_std___X" -0.98725587115942
"STANDING" 25 "tBodyAcc_std___X" -0.991970126756757
"STANDING" 26 "tBodyAcc_std___X" -0.993069368783784
"STANDING" 27 "tBodyAcc_std___X" -0.9919515835
"STANDING" 28 "tBodyAcc_std___X" -0.977748638607595
"STANDING" 29 "tBodyAcc_std___X" -0.996068635384615
"STANDING" 30 "tBodyAcc_std___X" -0.977559426949153
"WALKING" 1 "tBodyAcc_std___X" -0.283740258842105
"WALKING" 2 "tBodyAcc_std___X" -0.423642838474576
"WALKING" 3 "tBodyAcc_std___X" -0.360356726034483
"WALKING" 4 "tBodyAcc_std___X" -0.440829971333333
"WALKING" 5 "tBodyAcc_std___X" -0.294098534232143
"WALKING" 6 "tBodyAcc_std___X" -0.296538717368421
"WALKING" 7 "tBodyAcc_std___X" -0.327243240701754
"WALKING" 8 "tBodyAcc_std___X" -0.173605736002083
"WALKING" 9 "tBodyAcc_std___X" -0.238353562692308
"WALKING" 10 "tBodyAcc_std___X" -0.178709734396226
"WALKING" 11 "tBodyAcc_std___X" -0.422842071864407
"WALKING" 12 "tBodyAcc_std___X" -0.128898533096
"WALKING" 13 "tBodyAcc_std___X" -0.346980394210526
"WALKING" 14 "tBodyAcc_std___X" -0.402639098135593
"WALKING" 15 "tBodyAcc_std___X" -0.327961801111111
"WALKING" 16 "tBodyAcc_std___X" -0.404692523921569
"WALKING" 17 "tBodyAcc_std___X" -0.31950017295082
"WALKING" 18 "tBodyAcc_std___X" -0.37600552125
"WALKING" 19 "tBodyAcc_std___X" -0.0489049407963462
"WALKING" 20 "tBodyAcc_std___X" -0.208342792019608
"WALKING" 21 "tBodyAcc_std___X" -0.297814843538462
"WALKING" 22 "tBodyAcc_std___X" -0.00865921919565217
"WALKING" 23 "tBodyAcc_std___X" -0.313521773389831
"WALKING" 24 "tBodyAcc_std___X" -0.47076236637931
"WALKING" 25 "tBodyAcc_std___X" -0.596007443513514
"WALKING" 26 "tBodyAcc_std___X" -0.340185527559322
"WALKING" 27 "tBodyAcc_std___X" -0.348475560526316
"WALKING" 28 "tBodyAcc_std___X" -0.293003522222222
"WALKING" 29 "tBodyAcc_std___X" -0.174337940226415
"WALKING" 30 "tBodyAcc_std___X" -0.346394275230769
"WALKING_DOWNSTAIRS" 1 "tBodyAcc_std___X" 0.0300353383483878
"WALKING_DOWNSTAIRS" 2 "tBodyAcc_std___X" 0.0463666814446808
"WALKING_DOWNSTAIRS" 3 "tBodyAcc_std___X" -0.0574100475102041
"WALKING_DOWNSTAIRS" 4 "tBodyAcc_std___X" 0.0111935496222222
"WALKING_DOWNSTAIRS" 5 "tBodyAcc_std___X" 0.275046110468085
"WALKING_DOWNSTAIRS" 6 "tBodyAcc_std___X" 0.383681639791667
"WALKING_DOWNSTAIRS" 7 "tBodyAcc_std___X" 0.0660815600978723
"WALKING_DOWNSTAIRS" 8 "tBodyAcc_std___X" 0.0241393473736842
"WALKING_DOWNSTAIRS" 9 "tBodyAcc_std___X" 0.213392270547619
"WALKING_DOWNSTAIRS" 10 "tBodyAcc_std___X" 0.295733547631579
"WALKING_DOWNSTAIRS" 11 "tBodyAcc_std___X" 0.142456557034783
"WALKING_DOWNSTAIRS" 12 "tBodyAcc_std___X" 0.0424084916086956
"WALKING_DOWNSTAIRS" 13 "tBodyAcc_std___X" -0.0681563626617021
"WALKING_DOWNSTAIRS" 14 "tBodyAcc_std___X" 0.0178313402266667
"WALKING_DOWNSTAIRS" 15 "tBodyAcc_std___X" 0.406471051190476
"WALKING_DOWNSTAIRS" 16 "tBodyAcc_std___X" 0.207251997929787
"WALKING_DOWNSTAIRS" 17 "tBodyAcc_std___X" 0.187719760269565
"WALKING_DOWNSTAIRS" 18 "tBodyAcc_std___X" -0.302634565090909
"WALKING_DOWNSTAIRS" 19 "tBodyAcc_std___X" 0.626917070512821
"WALKING_DOWNSTAIRS" 20 "tBodyAcc_std___X" 0.0745098785288889
"WALKING_DOWNSTAIRS" 21 "tBodyAcc_std___X" 0.224343492244444
"WALKING_DOWNSTAIRS" 22 "tBodyAcc_std___X" 0.348618168333333
"WALKING_DOWNSTAIRS" 23 "tBodyAcc_std___X" 0.0441392843425926
"WALKING_DOWNSTAIRS" 24 "tBodyAcc_std___X" -0.08273248054
"WALKING_DOWNSTAIRS" 25 "tBodyAcc_std___X" -0.253756934258621
"WALKING_DOWNSTAIRS" 26 "tBodyAcc_std___X" 0.17395384962
"WALKING_DOWNSTAIRS" 27 "tBodyAcc_std___X" 0.167407531090909
"WALKING_DOWNSTAIRS" 28 "tBodyAcc_std___X" 0.125712887943478
"WALKING_DOWNSTAIRS" 29 "tBodyAcc_std___X" 0.167383602458333
"WALKING_DOWNSTAIRS" 30 "tBodyAcc_std___X" -0.0577703163548387
"WALKING_UPSTAIRS" 1 "tBodyAcc_std___X" -0.35470802509434
"WALKING_UPSTAIRS" 2 "tBodyAcc_std___X" -0.304376406458333
"WALKING_UPSTAIRS" 3 "tBodyAcc_std___X" -0.313123437627119
"WALKING_UPSTAIRS" 4 "tBodyAcc_std___X" -0.204933042903846
"WALKING_UPSTAIRS" 5 "tBodyAcc_std___X" -0.0457237779851064
"WALKING_UPSTAIRS" 6 "tBodyAcc_std___X" -0.0501350188513725
"WALKING_UPSTAIRS" 7 "tBodyAcc_std___X" -0.29487297445098
"WALKING_UPSTAIRS" 8 "tBodyAcc_std___X" -0.171712174634146
"WALKING_UPSTAIRS" 9 "tBodyAcc_std___X" -0.36144437755102
"WALKING_UPSTAIRS" 10 "tBodyAcc_std___X" -0.161591924234043
"WALKING_UPSTAIRS" 11 "tBodyAcc_std___X" -0.238802959018519
"WALKING_UPSTAIRS" 12 "tBodyAcc_std___X" -0.290149192307692
"WALKING_UPSTAIRS" 13 "tBodyAcc_std___X" -0.296284597454545
"WALKING_UPSTAIRS" 14 "tBodyAcc_std___X" -0.309396717592593
"WALKING_UPSTAIRS" 15 "tBodyAcc_std___X" -0.0260971840270833
"WALKING_UPSTAIRS" 16 "tBodyAcc_std___X" -0.397083831568627
"WALKING_UPSTAIRS" 17 "tBodyAcc_std___X" -0.062952754100625
"WALKING_UPSTAIRS" 18 "tBodyAcc_std___X" -0.380168286724138
"WALKING_UPSTAIRS" 19 "tBodyAcc_std___X" -0.1287420952375
"WALKING_UPSTAIRS" 20 "tBodyAcc_std___X" -0.116088676011765
"WALKING_UPSTAIRS" 21 "tBodyAcc_std___X" -0.240808282276596
"WALKING_UPSTAIRS" 22 "tBodyAcc_std___X" 0.0835738640921429
"WALKING_UPSTAIRS" 23 "tBodyAcc_std___X" -0.243887818513725
"WALKING_UPSTAIRS" 24 "tBodyAcc_std___X" -0.344399351355932
"WALKING_UPSTAIRS" 25 "tBodyAcc_std___X" -0.459775646153846
"WALKING_UPSTAIRS" 26 "tBodyAcc_std___X" -0.169006952418182
"WALKING_UPSTAIRS" 27 "tBodyAcc_std___X" -0.295439547254902
"WALKING_UPSTAIRS" 28 "tBodyAcc_std___X" -0.242062430294118
"WALKING_UPSTAIRS" 29 "tBodyAcc_std___X" -0.0867715569693878
"WALKING_UPSTAIRS" 30 "tBodyAcc_std___X" -0.350504475230769
"LAYING" 1 "tBodyAcc_std___Y" -0.83682740562
"LAYING" 2 "tBodyAcc_std___Y" -0.98027739875
"LAYING" 3 "tBodyAcc_std___Y" -0.962057544516129
"LAYING" 4 "tBodyAcc_std___Y" -0.941714042407407
"LAYING" 5 "tBodyAcc_std___Y" -0.969295613269231
"LAYING" 6 "tBodyAcc_std___Y" -0.924644826385965
"LAYING" 7 "tBodyAcc_std___Y" -0.926262668653846
"LAYING" 8 "tBodyAcc_std___Y" -0.93489116
"LAYING" 9 "tBodyAcc_std___Y" -0.9162927764
"LAYING" 10 "tBodyAcc_std___Y" -0.946454302068966
"LAYING" 11 "tBodyAcc_std___Y" -0.972196873859649
"LAYING" 12 "tBodyAcc_std___Y" -0.949072009333333
"LAYING" 13 "tBodyAcc_std___Y" -0.950947949516129
"LAYING" 14 "tBodyAcc_std___Y" -0.909697040980392
"LAYING" 15 "tBodyAcc_std___Y" -0.962759422361111
"LAYING" 16 "tBodyAcc_std___Y" -0.943061150285714
"LAYING" 17 "tBodyAcc_std___Y" -0.944792875211268
"LAYING" 18 "tBodyAcc_std___Y" -0.986160920923077
"LAYING" 19 "tBodyAcc_std___Y" -0.973449968554217
"LAYING" 20 "tBodyAcc_std___Y" -0.964098180294118
"LAYING" 21 "tBodyAcc_std___Y" -0.956959422222222
"LAYING" 22 "tBodyAcc_std___Y" -0.913276301666667
"LAYING" 23 "tBodyAcc_std___Y" -0.976309827361111
"LAYING" 24 "tBodyAcc_std___Y" -0.983126461944444
"LAYING" 25 "tBodyAcc_std___Y" -0.691770680561644
"LAYING" 26 "tBodyAcc_std___Y" -0.983231351842105
"LAYING" 27 "tBodyAcc_std___Y" -0.983736043783784
"LAYING" 28 "tBodyAcc_std___Y" -0.945386780375
"LAYING" 29 "tBodyAcc_std___Y" -0.990240946666667
"LAYING" 30 "tBodyAcc_std___Y" -0.954201823857143
"SITTING" 1 "tBodyAcc_std___Y" -0.922618641914894
"SITTING" 2 "tBodyAcc_std___Y" -0.950704499130435
"SITTING" 3 "tBodyAcc_std___Y" -0.856617812115385
"SITTING" 4 "tBodyAcc_std___Y" -0.89022398108
"SITTING" 5 "tBodyAcc_std___Y" -0.904335121022727
"SITTING" 6 "tBodyAcc_std___Y" -0.923682131090909
"SITTING" 7 "tBodyAcc_std___Y" -0.909454698541667
"SITTING" 8 "tBodyAcc_std___Y" -0.927331997021739
"SITTING" 9 "tBodyAcc_std___Y" -0.875141405
